audio,transcription,transcription_mfa
karuk-2011-08-16-vs-2_01,hooy ithiishriheesh?,hooy ithiishriheesh
karuk-2011-08-16-vs-2_02,hooy itharishriheesh?,hooy itharishriheesh
karuk-2011-08-16-vs-2_03,hooy iiyeeshriheesh?,hooy iiyeeshriheesh
karuk-2011-08-16-vs-2_04,xayfaat aapun isharishriheesh.,xayfaat aapun isharishriheesh
karuk-2011-08-16-vs-2_05,ta nipyukukuh pananiyukukuh.,ta nipyukukuh pananiyukukuh
karuk-2011-08-16-vs-2_06,ipyukukuh pamiyukukuh.,ipyukukuh pamiyukukuh
karuk-2011-08-16-vs-2_07,ta nipyukukuhsuru.,ta nipyukukuhsuru
karuk-2011-08-16-vs-2_08,ipyukukuhsuru miyukukuh.,ipyukukuhsuru miyukukuh
karuk-2011-08-16-vs-2_09,koovura pasasip.,koovura pasasip
karuk-2011-08-16-vs-2_10,ni'ahootih.,niqahootih
karuk-2011-08-16-vs-2_11,paykuuk mukrivraam ta ni'ahoo.,paykuuk mukrivraam ta niqahoo
karuk-2011-08-16-vs-2_12,mikrivraam ni'uumeesh.,mikrivraam niquumeesh
karuk-2011-08-16-vs-2_13,nikviripeesh pamikrivraam.,nikviripeesh pamikrivraam
karuk-2011-08-16-vs-2_14,nikpuuhmeesh pamikrivraam.,nikpuuhmeesh pamikrivraam
karuk-2011-08-16-vs-2_15,naa vura payeem nikpuhuthunavish.,naa vura payeem nikpuhuthunavish
karuk-2011-08-16-vs-2_16,naa pananikrivraam ni'aramsiiprimtih.,naa pananikrivraam niqaramsiiprimtih
karuk-2011-08-16-vs-2_17,iim hooy i'aramsiiprimtih?,iim hooy iqaramsiiprimtih
karuk-2011-08-16-vs-2_18,hooy tu'aramsiip?,hooy tuqaramsiip
karuk-2011-08-16-vs-2_19,hooy ta kun'aramsiipriv?,hooy ta kunqaramsiipriv
karuk-2011-08-16-vs-2_20,piimich ni'uumeesh kahtishraam.,piimich niquumeesh kahtishraam
karuk-2011-08-16-vs-2_21,naa kahtishraam mupiimich kaan panikrii.,naa kahtishraam mupiimich kaan panikrii
karuk-2011-08-16-vs-2_22,hooy iim peekrii?,hooy iim peekrii
karuk-2011-08-16-vs-3_01,iinaak tuvoonfuruk.,iinaak tuvoonfuruk
karuk-2011-08-16-vs-3_02,iinaak tukviripma.,iinaak tukviripma
karuk-2011-08-16-vs-3_03,iinaak too kxipma pa'achviiv.,iinaak too kxipma paqachviiv
karuk-2011-08-16-vs-3_04,xayfaat too 'ikxipma iinaak.,xayfaat too qikxipma iinaak
karuk-2011-08-16-vs-3_05,naa iinaak nikxipmeesh mikrivraam.,naa iinaak nikxipmeesh mikrivraam
karuk-2011-08-16-vs-3_06,vaa ip kaan ukyamiichvutih xas too kxip.,vaa ip kaan ukyamiichvutih xas too kxip
karuk-2011-08-16-vs-3_07,pa'achviiv too ikxiipship.,paqachviiv too ikxiipship
karuk-2011-08-16-vs-3_08,pa'aama too kpuuhsip.,paqaama too kpuuhsip
karuk-2011-08-16-vs-3_09,pa'avansa maruk too kfukuraa.,paqavansa maruk too kfukuraa
karuk-2011-08-16-vs-3_11,naa karu maruk ta nikfukuraa.,naa karu maruk ta nikfukuraa
karuk-2011-08-16-vs-3_12,xayfaat maruk ivaaram.,xayfaat maruk ivaaram
karuk-2011-08-16-vs-3_13,xayfaat saruk i'arihfak.,xayfaat saruk iqarihfak
karuk-2011-08-16-vs-3_14,naa karu saruk ni'arihfakeesh.,naa karu saruk niqarihfakeesh
karuk-2011-08-16-vs-3_15,akaay saruk tu'arihfak?,akaay saruk tuqarihfak
karuk-2011-08-16-vs-3_16,akaay saruk too arihfakuheen ipit?,akaay saruk too arihfakuheen ipit
karuk-2011-08-16-vs-3_17,pa'achviiv maruk too kxipuraa ipit.,paqachviiv maruk too kxipuraa ipit
karuk-2011-08-16-vs-3_18,pa'as ta nitharishrih xas pahup'asip.,paqas ta nitharishrih xas pahupqasip
karuk-2011-08-16-vs-3_19,pa'apsuun kaan puuvish ukrii.,paqapsuun kaan puuvish ukrii
karuk-2011-08-16-vs-3_20,nipaatheesh pa'as.,nipaatheesh paqas
karuk-2011-08-16-vs-3_21,pa'as kaan nipaathkuriheesh.,paqas kaan nipaathkuriheesh
karuk-2011-08-16-vs-3_22,papuuvish vaa kaan pa'as nipaathkuriheesh.,papuuvish vaa kaan paqas nipaathkuriheesh
karuk-2011-08-16-vs-3_23,vaa kaan uthaantakoo ahup'asipak.,vaa kaan uthaantakoo ahupqasipak
karuk-2011-08-16-vs-3_24,pa'as uum ahup'asipak surukam.,paqas uum ahupqasipak surukam
karuk-2011-08-16-vs-3_25,vaa kaan pa'apsuun ukrii asip surukam.,vaa kaan paqapsuun ukrii asip surukam
karuk-2011-08-16-vs-3_26,xayfaat vaa kaan itharishrih ahup'asip surukam.,xayfaat vaa kaan itharishrih ahupqasip surukam
karuk-2010-07-23-ag-vs-1_01,achviiv ta nimah.,achviiv ta nimah
karuk-2010-07-23-ag-vs-1_02,achviiv tee mah.,achviiv tee mah
karuk-2010-07-23-ag-vs-1_03,achviiv ta numah.,achviiv ta numah
karuk-2010-07-23-ag-vs-1_05,huuka too kxipma pa'achviiv?,huuka too kxipma paqachviiv
karuk-2010-07-23-ag-vs-1_06,tee mah hum pa'achviiv?,tee mah hum paqachviiv
karuk-2010-07-23-ag-vs-1_07,imuusti pa'achviiv.,imuusti paqachviiv
karuk-2010-07-23-ag-vs-1_08,yaxa pa'achviiv!,yaxa paqachviiv
karuk-2010-07-23-ag-vs-1_09,ta nimah pavirusur.,ta nimah pavirusur
karuk-2010-07-23-ag-vs-1_10,pavirusur ip nimah.,pavirusur ip nimah
karuk-2010-07-23-ag-vs-1_11,pavirusura ishkih too kviip.,pavirusura ishkih too kviip
karuk-2010-07-23-ag-vs-1_12,pavirusur ipit ishkih ukviip.,pavirusur ipit ishkih ukviip
karuk-2010-07-23-ag-vs-1_13,tee mah hum papuufich?,tee mah hum papuufich
karuk-2010-07-23-ag-vs-1_14,chak'iimich papuufich tu'ahoo.,chakqiimich papuufich tuqahoo
karuk-2010-07-23-ag-vs-1_15,papuufich tukuniihka.,papuufich tukuniihka
karuk-2010-07-23-ag-vs-1_16,imaan papuufich ukuniihkeesh.,imaan papuufich ukuniihkeesh
karuk-2010-07-23-ag-vs-1_17,imaan papuufich nikuniihkeesh.,imaan papuufich nikuniihkeesh
karuk-2010-07-23-ag-vs-1_18,yaxa pa'akviish!,yaxa paqakviish
karuk-2010-07-23-ag-vs-1_19,naa vura imxathakeem.,naa vura imxathakeem
karuk-2010-07-23-ag-vs-1_20,yaxa pa'akvaat!,yaxa paqakvaat
karuk-2010-07-23-ag-vs-1_21,yaxa paykuuk!,yaxa paykuuk
karuk-2010-07-23-ag-vs-1_22,yaxa pay!,yaxa pay
karuk-2010-07-23-ag-vs-1_23,vaa yav panikpuuhtih.,vaa yav panikpuuhtih
karuk-2010-07-23-ag-vs-1_24,faat uum pamusmus u'aamtih?,faat uum pamusmus uqaamtih
karuk-2010-07-23-ag-vs-1_25,pamusmus uum pirish u'aamtih.,pamusmus uum pirish uqaamtih
karuk-2010-07-23-ag-vs-2_01,panakish uum axvithirar.,panakish uum axvithirar
karuk-2010-07-23-ag-vs-2_02,hooy panakish?,hooy panakish
karuk-2010-07-23-ag-vs-2_03,hooy pananinakish?,hooy pananinakish
karuk-2010-07-23-ag-vs-2_04,panakish nithiinatih.,panakish nithiinatih
karuk-2010-07-23-ag-vs-2_05,chishiih nithiinatih.,chishiih nithiinatih
karuk-2010-07-23-ag-vs-3_01,faat ikyaatih?,faat ikyaatih
karuk-2010-07-23-ag-vs-3_02,faat teekyaatih?,faat teekyaatih
karuk-2010-07-23-ag-vs-3_03,faat ikyaveesh?,faat ikyaveesh
karuk-2010-07-23-ag-vs-3_04,faat teekyav?,faat teekyav
karuk-2010-07-23-ag-vs-3_05,faat ikupaveenatih?,faat ikupaveenatih
karuk-2010-07-23-ag-vs-3_06,faat kuma'av?,faat kumaqav
karuk-2010-07-23-ag-vs-3_07,faat kuma'av peemnisheesh?,faat kumaqav peemnisheesh
karuk-2010-07-23-ag-vs-3_08,faat kumeethyur peekvareesh?,faat kumeethyur peekvareesh
karuk-2010-07-23-ag-vs-3_09,faat kumapaah peekyaveesh?,faat kumapaah peekyaveesh
karuk-2010-07-23-ag-vs-3_10,faat kuma'avah peevishtaantih?,faat kumaqavah peevishtaantih
karuk-2010-07-23-ag-vs-3_11,aama ni'aveesh.,aama niqaveesh
karuk-2010-07-23-ag-vs-3_12,huut uum pamipaah ikyaatih?,huut uum pamipaah ikyaatih
karuk-2010-07-23-ag-vs-3_13,pa'aama huut imniishtih?,paqaama huut imniishtih
karuk-2010-07-23-ag-vs-3_14,papusihich ipahak a' ukrii.,papusihich ipahak aq ukrii
karuk-2010-07-23-ag-vs-3_15,pakihara puuvish thaankurih.,pakihara puuvish thaankurih
karuk-2010-07-23-ag-vs-4_01,hooy papusihich?,hooy papusihich
karuk-2010-07-23-ag-vs-4_02,papusihich hum ithiinatih?,papusihich hum ithiinatih
karuk-2010-07-23-ag-vs-4_03,haa papusihich nithiinatih.,haa papusihich nithiinatih
karuk-2010-07-23-ag-vs-4_04,papusihich um tee mah?,papusihich um tee mah
karuk-2010-07-23-ag-vs-4_05,haa ta nimah papusihich.,haa ta nimah papusihich
karuk-2010-07-23-ag-vs-4_06,puuhara punamaahtihara papusihich.,puuhara punamaahtihara papusihich
karuk-2010-07-23-ag-vs-4_07,yuraschishiih ta nimah.,yuraschishiih ta nimah
karuk-2010-07-23-ag-vs-4_08,payuraschishiih too kviip ishkih.,payuraschishiih too kviip ishkih
karuk-2010-07-23-ag-vs-4_09,payuraschishiih nikuuntakoo.,payuraschishiih nikuuntakoo
karuk-2010-07-23-ag-vs-4_10,payuraschishiih ikuuntakoo hum?,payuraschishiih ikuuntakoo hum
karuk-2010-07-23-ag-vs-4_11,ishkih um too kxip?,ishkih um too kxip
karuk-2010-07-23-ag-vs-4_12,pachuufish chaka'iimich too kxip.,pachuufish chakaqiimich too kxip
karuk-2010-07-23-ag-vs-4_13,aama hum i'aveesh?,aama hum iqaveesh
karuk-2010-07-23-ag-vs-4_14,haa aama ni'aveesh.,haa aama niqaveesh
karuk-2010-07-23-ag-vs-4_15,uum payeem uum aama u'aveesh.,uum payeem uum aama uqaveesh
karuk-2010-07-23-ag-vs-4_16,koovura aama nu'aveesh.,koovura aama nuqaveesh
karuk-2010-07-23-ag-vs-4_17,chimi aama nu'ava.,chimi aama nuqava
karuk-2010-07-23-ag-vs-4_18,aama nimnisheesh.,aama nimnisheesh
karuk-2010-07-23-ag-vs-4_19,ipit aama nimnish.,ipit aama nimnish
karuk-2010-07-23-ag-vs-4_20,iim aama imniishtih.,iim aama imniishtih
karuk-2010-07-23-ag-vs-4_21,aama um ivishtaantih?,aama um ivishtaantih
karuk-2010-07-23-ag-vs-4_22,haa aama nivishtaantih.,haa aama nivishtaantih
karuk-2010-07-23-ag-vs-4_23,haa naa aama karu nivishtaantih.,haa naa aama karu nivishtaantih
karuk-2010-07-23-ag-vs-4_24,harivari pa'aama nu'aveesh?,harivari paqaama nuqaveesh
karuk-2010-07-23-ag-vs-4_25,uumkun harivari pa'aama kunaveesh?,uumkun harivari paqaama kunaveesh
karuk-2010-07-23-ag-vs-4_26,yufishhi pa'aama.,yufishhi paqaama
karuk-2010-07-23-ag-vs-4_27,ishkih ukpuuhtih.,ishkih ukpuuhtih
karuk-2010-07-23-ag-vs-4_28,ishkih um pa'akraa ukpuuhtih?,ishkih um paqakraa ukpuuhtih
karuk-2010-07-23-ag-vs-4_29,ivishtaantih hum pa'akraah?,ivishtaantih hum paqakraah
karuk-2010-07-23-ag-vs-4_30,faat kuma'ish?,faat kumaqish
karuk-2010-07-23-ag-vs-4_31,arara'ish nivishtaantih.,araraqish nivishtaantih
karuk-2010-07-23-ag-vs-4_32,ishaha ta ni'ish.,ishaha ta niqish
karuk-2010-07-23-ag-vs-4_33,pa'ishah ni'isheesh.,paqishah niqisheesh
karuk-2010-07-23-ag-vs-4_34,pa'ishaha hum i'isheesh?,paqishaha hum iqisheesh
karuk-2010-07-23-ag-vs-4_35,naa yufish nivishtaantih.,naa yufish nivishtaantih
karuk-2010-07-23-ag-vs-4_36,chimi papufich'iish numnisheesh.,chimi papufichqiish numnisheesh
karuk-2010-07-23-ag-vs-4_37,iimkun papufich'iish kumnisheesh?,iimkun papufichqiish kumnisheesh
karuk-2010-07-23-ag-vs-4_38,haa koovura numnisheesh papufich'iish.,haa koovura numnisheesh papufichqiish
karuk-2010-07-23-ag-vs-4_39,puuhara papufich'iish pukinimnisheeshara.,puuhara papufichqiish pukinimnisheeshara
karuk-2010-07-23-ag-vs-4_40,papufich'iish um ivishtaantih?,papufichqiish um ivishtaantih
karuk-2010-07-23-ag-vs-4_41,uum papufich'iish uvishtaantih.,uum papufichqiish uvishtaantih
karuk-2010-07-23-ag-vs-4_42,ipit numniishti papufich'iish.,ipit numniishti papufichqiish
karuk-2010-07-23-ag-vs-4_43,yufishhi papufich'iish.,yufishhi papufichqiish
karuk-2010-07-23-ag-vs-4_44,naa ip niyufishhat papufich'iish.,naa ip niyufishhat papufichqiish
karuk-2010-07-23-ag-vs-4_45,ipit uxraah nu'avat.,ipit uxraah nuqavat
karuk-2010-07-23-ag-vs-4_46,payeem uxraah nu'aamtih.,payeem uxraah nuqaamtih
karuk-2010-07-23-ag-vs-4_47,uxraah nivishtaantih.,uxraah nivishtaantih
karuk-2010-07-23-ag-vs-4_48,iim uxraah ivishtaantih?,iim uxraah ivishtaantih
karuk-2010-07-23-ag-vs-4_49,ipit paxuun nu'avat.,ipit paxuun nuqavat
karuk-2013-01-27-vs-1_A_01,"pa'apsuun uum vura vaaram, pa'aan uum ipshuunkinich.",paqapsuun uum vura vaaram paqaan uum ipshuunkinich
karuk-2013-01-27-vs-1_A_02,pa'apsuun karu pa'aan xakaan vura yav.,paqapsuun karu paqaan xakaan vura yav
karuk-2013-01-27-vs-1_A_03,pay uum pa'apsuun vura uum vaaram.,pay uum paqapsuun vura uum vaaram
karuk-2013-01-27-vs-1_A_04,vura niinamich pa'asip.,vura niinamich paqasip
karuk-2013-01-27-vs-1_A_05,keechas vura patakaakaa.,keechas vura patakaakaa
karuk-2013-01-27-vs-1_B_01,patakaakaatunveechas kaan kun'ichunvunaatih.,patakaakaatunveechas kaan kunqichunvunaatih
karuk-2013-01-27-vs-1_B_02,"kun'ichunvunaatih, kaan.",kunqichunvunaatih kaan
karuk-2013-01-27-vs-1_B_03,patakaakaatunveechas kun'ichunvunaatih.,patakaakaatunveechas kunqichunvunaatih
karuk-2013-01-27-vs-1_B_04,,
karuk-2013-01-27-vs-1_B_05,puna'aapunmutihara.,punaqaapunmutihara
karuk-2013-01-27-vs-1_B_06,pananu'atraax vura uum ipshuunkinich.,pananuqatraax vura uum ipshuunkinich
karuk-2013-01-27-vs-1_B_07,vura nu'apimtih.,vura nuqapimtih
karuk-2013-01-27-vs-1_B_08,vaa kunish kunimusahiti pasaan.,vaa kunish kunimusahiti pasaan
karuk-2013-01-27-vs-1_B_09,kunish tuvaxrah.,kunish tuvaxrah
karuk-2013-01-27-vs-1_B_10,pakeechas vura ta kunikxiipshur.,pakeechas vura ta kunikxiipshur
karuk-2013-01-27-vs-1_B_11,,
karuk-2013-01-27-vs-1_B_12,,
karuk-2013-01-27-vs-1_C_01,pamitipa ipeen ook naa.,pamitipa ipeen ook naa
karuk-2013-01-27-vs-1_C_02,mitipa ipeen ook naa.,mitipa ipeen ook naa
karuk-2013-01-27-vs-1_C_03,vura uum puxich nu'itapeesh pa'ararahih.,vura uum puxich nuqitapeesh paqararahih
karuk-2013-01-27-vs-1_C_04,,
karuk-2013-01-27-vs-1_C_05,"naa ipshuunkinich, kuna pananitipa uum vaaram.",naa ipshuunkinich kuna pananitipa uum vaaram
karuk-2013-01-27-vs-1_C_06,pay uum ipshuunkinich. pay cup uum vaaram.,pay uum ipshuunkinich pay cup uum vaaram
karuk-2013-01-27-vs-1_C_07,pay uum pananikafih'asip ipshuunkinich.,pay uum pananikafihqasip ipshuunkinich
frog-1,Avansaxiich u'ahooti karu pachishiih.,Avansaxiich uqahooti karu pachishiih
frog-10,Avansaxiich uchuphunishkooti pachishiih.,Avansaxiich uchuphunishkooti pachishiih
frog-10b,Xas uum paxanchiifich iin kinimuustih.,Xas uum paxanchiifich iin kinimuustih
frog-10c,Pa'avansaxiich iin ta kunchuphunishkoo.,Paqavansaxiich iin ta kunchuphunishkoo
frog-11," Now, faat karu?",Now faat karu
frog-11b, Pay'ook uum paxanchiifich.,Payqook uum paxanchiifich
frog-11c-cut,"Uxutih, "" Neexaychakisheesh paxanchiifich.""",Uxutih Neexaychakisheesh paxanchiifich
frog-11d,"Uxutih, "" Neexaychakish paxanchiifich.""",Uxutih Neexaychakish paxanchiifich
frog-12, Pay'ook uum faat?,Payqook uum faat
frog-12b-cut,"Pa'avansaxiich uxutih, "" Neexaychakisheesh paxanchiifich.""",Paqavansaxiich uxutih Neexaychakisheesh paxanchiifich
frog-12c,Kunish ipshuunkinich pay.,Kunish ipshuunkinich pay
frog-13-cut,Puyaif vura uum kaarim xas pamuchishiih xas tuxaychakish.,Puyaif vura uum kaarim xas pamuchishiih xas tuxaychakish
frog-13b-cut,Karu uum paxanchiifich uum too skaaksur.,Karu uum paxanchiifich uum too skaaksur
frog-14-cut,Pay'ook uum xakaan kun'iin pa'avansaxiich karu pachishiih.,Payqook uum xakaan kunqiin paqavansaxiich karu pachishiih
frog-14b-cut,"Xas paxanchiifich kaan ukrii, saruk kaan ukrii.",Xas paxanchiifich kaan ukrii saruk kaan ukrii
frog-15,Kari pachishiih karu ukrii.,Kari pachishiih karu ukrii
frog-15b-cut,Ithyaruk xas ukuuntakoo paxanchiifich.,Ithyaruk xas ukuuntakoo paxanchiifich
frog-16,Xas ikiich too kvurish.,Xas ikiich too kvurish
frog-16b,Ikiich too kvurish tuxus too pvaaram.,Ikiich too kvurish tuxus too pvaaram
frog-16c,Karu payeem vura vaa umuustih kari.,Karu payeem vura vaa umuustih kari
frog-17,Xas vura ta kunpiyaaram.,Xas vura ta kunpiyaaram
frog-18-cut,Xas vura uum too kvurish karu paxanchiifich.,Xas vura uum too kvurish karu paxanchiifich
frog-18b-cut,"Xas vura umuustih huukava pata kunivyiihma, mukunfithih.",Xas vura umuustih huukava pata kunivyiihma mukunfithih
frog-18c-cut,Vaa kaan kun'ahootiheen.,Vaa kaan kunqahootiheen
frog-19-cut,Xas vura kaan tu'uum vaa kaan u'aharamuraatih.,Xas vura kaan tuquum vaa kaan uqaharamuraatih
frog-19b-cut,Kaan pakun'ahootih.,Kaan pakunqahootih
frog-2-cut,Pa'avansaxiich usxaareesh karu pamuchishiih.,Paqavansaxiich usxaareesh karu pamuchishiih
frog-20,Kari iish upaatvutih pa'axiich.,Kari iish upaatvutih paqaxiich
frog-20b-cut,Xas iish ta kunpaatva.,Xas iish ta kunpaatva
frog-20c-cut,Xas payeem iish ta kunpaatva.,Xas payeem iish ta kunpaatva
frog-21,Xas vura uum paxanchiifich vura uum yav patoo pmahoonkoon.,Xas vura uum paxanchiifich vura uum yav patoo pmahoonkoon
frog-21b-cut,Iinaak ukrii.,Iinaak ukrii
frog-22-cut,Xas paxanchiifich iin ta kunimuusti pakunpaatvutih.,Xas paxanchiifich iin ta kunimuusti pakunpaatvutih
frog-23-cut,"Xas payeem paxanchiifich too xus, "" Kiri naa karu nipaatveesh.""",Xas payeem paxanchiifich too xus Kiri naa karu nipaatveesh
frog-23b,Xas umuustihinaa.,Xas umuustihinaa
frog-24,Xas vura uum payeem ta kunpaatvaheen.,Xas vura uum payeem ta kunpaatvaheen
frog-24b-cut,"Karu paxanchiifich u'uum vaa kaan, ukuuntakoo pachishihaxvaah.",Karu paxanchiifich uquum vaa kaan ukuuntakoo pachishihaxvaah
frog-3,Pa'avansaxiich umuusti paxanchiifich.,Paqavansaxiich umuusti paxanchiifich
frog-4-cut,Ta kunithviripunih muchishiih xakaan.,Ta kunithviripunih muchishiih xakaan
frog-4b,Xas ta kunmah paxanchiifich.,Xas ta kunmah paxanchiifich
frog-5,Xas too kviripunih kaan.,Xas too kviripunih kaan
frog-5b,Xas too kyivish.,Xas too kyivish
frog-5d-cut,Xas paxanchiifich uthitiv.,Xas paxanchiifich uthitiv
frog-6,Xas too kyiimkurih.,Xas too kyiimkurih
frog-6b,Xas pa'ishaha too kyiimkurih.,Xas paqishaha too kyiimkurih
frog-6c,Pamufithih kich ta numah.,Pamufithih kich ta numah
frog-6d-cut,"Karu pachishiih upsaravriiktih, avansaxiich.",Karu pachishiih upsaravriiktih avansaxiich
frog-6e-cut,Tu'ay.,Tuqay
frog-7-cut,Xas pa'avansaxiich karu pachishiih ta kunmah paxanchiifich.,Xas paqavansaxiich karu pachishiih ta kunmah paxanchiifich
frog-7b-cut,Xas paxanchiifich payeem too mah.,Xas paxanchiifich payeem too mah
frog-7c,Tu'aapunma uumkun yav.,Tuqaapunma uumkun yav
frog-7d-cut,Yav too mah.,Yav too mah
frog-8,Ikiich paxanchiifich xas too pvaaram.,Ikiich paxanchiifich xas too pvaaram
frog-9-cut,Xas payeem paxanchiifich tu'ipak.,Xas payeem paxanchiifich tuqipak
frog-9b,Xas too muustihinaa pa'avansaxiich karu ... Hooy uum pachishiih?,Xas too muustihinaa paqavansaxiich karu Hooy uum pachishiih
frog-9c-cut,Xas paxanchiifich too muusti pachishiih karu pa'avansaxiich.,Xas paxanchiifich too muusti pachishiih karu paqavansaxiich
karuk-2012-10-20-vs-4_A_01,ayukii.,ayukii
karuk-2012-10-20-vs-4_A_02,huut iim?,huut iim
karuk-2012-10-20-vs-4_A_03,huut ti'iin?,huut tiqiin
karuk-2012-10-20-vs-4_A_04,huut kich?,huut kich
karuk-2012-10-20-vs-4_A_05,naa vura yav.,naa vura yav
karuk-2012-10-20-vs-4_A_06,vura yav.,vura yav
karuk-2012-10-20-vs-4_A_07,naa yeeshiip.,naa yeeshiip
karuk-2012-10-20-vs-4_A_08,iim hum huut?,iim hum huut
karuk-2012-10-20-vs-4_A_09,if xara xas ta nupmah.,if xara xas ta nupmah
karuk-2012-10-20-vs-4_A_10,hooy ti'aramsiipriv?,hooy tiqaramsiipriv
karuk-2012-10-20-vs-4_A_11,naa Orleans ni'aramsiiprivtih.,naa Orleans niqaramsiiprivtih
karuk-2012-10-20-vs-4_A_12,Orleans ni'aramsiiprivtih.,Orleans niqaramsiiprivtih
karuk-2012-10-20-vs-4_A_13,panamniik ni'aramsiiprivtih.,panamniik niqaramsiiprivtih
karuk-2012-10-20-vs-4_A_14,huut kich peempaah?,huut kich peempaah
karuk-2012-10-20-vs-4_A_15,huut kich peeshkeesh?,huut kich peeshkeesh
karuk-2012-10-20-vs-4_A_16,yav umusahiti pa'ishkeesh.,yav umusahiti paqishkeesh
karuk-2012-10-20-vs-4_A_17,peeshkeesh yav umusahitih.,peeshkeesh yav umusahitih
karuk-2012-10-20-vs-4_A_18,peeshkeesh vura yav umusahitih.,peeshkeesh vura yav umusahitih
karuk-2012-10-20-vs-4_A_19,axvithirar peeshkeesh.,axvithirar peeshkeesh
karuk-2012-10-20-vs-4_A_20,peeshkeesh tu'uh.,peeshkeesh tuquh
karuk-2012-10-20-vs-4_A_21,peeshkeesh tupivaxrah.,peeshkeesh tupivaxrah
karuk-2012-10-20-vs-4_A_22,chi upathriheesh hum?,chi upathriheesh hum
karuk-2012-10-20-vs-4_A_23,kunish chi upathriheesh.,kunish chi upathriheesh
karuk-2012-10-20-vs-4_A_24,chi nivaarameesh.,chi nivaarameesh
karuk-2012-10-20-vs-4_A_25,chimi nivaarameesh.,chimi nivaarameesh
karuk-2012-10-20-vs-4_A_26,imaan kunish upathriheesh.,imaan kunish upathriheesh
karuk-2012-10-20-vs-4_A_27,kunish upathriheesh.,kunish upathriheesh
karuk-2012-10-20-vs-4_A_28,kumateech uum kunish umchaxeesh.,kumateech uum kunish umchaxeesh
karuk-2012-10-20-vs-4_A_29,kumateech uum umchaxeesh.,kumateech uum umchaxeesh
karuk-2012-10-20-vs-4_A_30,kumateechvanihich umchaxeesh.,kumateechvanihich umchaxeesh
karuk-2012-10-20-vs-4_A_31,faat iimkun kukupaveenahitih?,faat iimkun kukupaveenahitih
karuk-2012-10-20-vs-4_A_32,faat iimkun kukupaveenatih?,faat iimkun kukupaveenatih
karuk-2012-10-20-vs-4_A_33,iim faat ikupaveenatih?,iim faat ikupaveenatih
karuk-2012-10-20-vs-4_A_34,purafaat.,purafaat
karuk-2012-10-20-vs-4_A_35,purafaat vura.,purafaat vura
karuk-2012-10-20-vs-4_A_36,purafaat vura nikupaveenatih.,purafaat vura nikupaveenatih
karuk-2012-10-20-vs-4_A_37,huut ipitih?,huut ipitih
karuk-2012-10-20-vs-4_A_38,huut tee piip?,huut tee piip
karuk-2012-10-20-vs-4_A_39,huut ikupaveenatih?,huut ikupaveenatih
karuk-2012-10-20-vs-4_A_40,faat i'aapunmutih?,faat iqaapunmutih
karuk-2012-10-20-vs-4_A_41,huut mithvuy?,huut mithvuy
karuk-2012-10-20-vs-4_A_42,huut ithvuuytih?,huut ithvuuytih
karuk-2012-10-20-vs-4_A_43,nanithvuy uum Vina.,nanithvuy uum Vina
karuk-2012-10-20-vs-4_A_44,Vina nithvuuytih.,Vina nithvuuytih
karuk-2012-10-20-vs-4_A_45,pusihich ithvuuyti hum?,pusihich ithvuuyti hum
karuk-2012-10-20-vs-4_A_46,akaay iim mi'araaras?,akaay iim miqaraaras
karuk-2012-10-20-vs-4_A_47,akaay mi'araaras?,akaay miqaraaras
karuk-2012-10-20-vs-4_A_48,huut kich pamitaat?,huut kich pamitaat
karuk-2012-10-20-vs-4_A_49,huut kich pami'akah?,huut kich pamiqakah
karuk-2012-10-20-vs-4_A_50,hooy tivaaram?,hooy tivaaram
karuk-2012-10-20-vs-4_B_01,yav uum imnishaan um?,yav uum imnishaan um
karuk-2012-10-20-vs-4_B_02,faat poomniishtih?,faat poomniishtih
karuk-2012-10-20-vs-4_B_03,hooy ivaarameesh?,hooy ivaarameesh
karuk-2012-10-20-vs-4_B_04,hooyva vura panivaarameesh.,hooyva vura panivaarameesh
karuk-2012-10-20-vs-4_B_05,fataak nivaarameesh.,fataak nivaarameesh
karuk-2012-10-20-vs-4_B_06,Orleans nivaarameesh.,Orleans nivaarameesh
karuk-2012-10-20-vs-4_B_07,ifyaa tu'uum?,ifyaa tuquum
karuk-2012-10-20-vs-4_B_08,suva nik nupmaheesh.,suva nik nupmaheesh
karuk-2012-10-20-vs-4_B_09,kumateechvanihich nik nupmaheesh.,kumateechvanihich nik nupmaheesh
karuk-2012-10-20-vs-4_B_10,chimi kuyaapkuh.,chimi kuyaapkuh
karuk-2012-10-20-vs-4_B_11,chimi.,chimi
karuk-2012-10-20-vs-4_B_12,haa.,haa
karuk-2012-10-20-vs-4_B_13,puuhara.,puuhara
karuk-2012-10-20-vs-4_B_14,ikiich.,ikiich
karuk-2012-10-20-vs-4_B_15,yootva.,yootva
karuk-2012-10-20-vs-4_B_16,vaa vura yav.,vaa vura yav
karuk-2012-10-20-vs-4_B_17,yav.,yav
karuk-2012-10-20-vs-4_B_18,chimi man ta nipvaaram.,chimi man ta nipvaaram
karuk-2012-10-20-vs-4_B_19,atafaat.,atafaat
karuk-2012-10-20-vs-4_B_20,ikiich panamniik nivaarameesh.,ikiich panamniik nivaarameesh
karuk-2012-10-20-vs-4_B_21,huun ata.,huun ata
karuk-2012-10-20-vs-4_B_22,imaan nupmaheesh.,imaan nupmaheesh
karuk-2012-10-20-vs-4_B_23,suvanik imaan.,suvanik imaan
