audio,transcription,Unnamed: 2,extra,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
karuk-2010-07-23-ag-vs-4_07,yuraschishiih ta nimah.,,,,,,
karuk-2010-07-23-ag-vs-4_08,payuraschishiih too kviip ishkih.,,,,,,
karuk-2010-07-23-ag-vs-4_09,payuraschishiih nikuuntakoo.,,,,,,
karuk-2010-07-23-ag-vs-4_10,payuraschishiih ikuuntakoo hum?,,,,,,
karuk-2010-07-23-ag-vs-4_11,ishkih um too kxip?,,,,,,
karuk-2010-07-23-ag-vs-4_12,pachuufish chaka'iimich too kxip.,,,,,,
karuk-2010-07-23-ag-vs-4_13,aama hum i'aveesh?,,,,,,
karuk-2010-07-23-ag-vs-4_14,haa aama ni'aveesh.,,,,,,
karuk-2010-07-23-ag-vs-4_15,uum payeem uum aama u'aveesh.,,,,,,
karuk-2010-07-23-ag-vs-4_16,koovura aama nu'aveesh.,,,,,,
karuk-2010-07-23-ag-vs-4_17,chimi aama nu'ava.,,,,,,
karuk-2010-07-23-ag-vs-4_18,aama nimnisheesh.,,,,,,
karuk-2010-07-23-ag-vs-4_19,ipit aama nimnish.,,,,,,
karuk-2010-07-23-ag-vs-4_20,iim aama imniishtih.,,,,,,
karuk-2010-07-23-ag-vs-4_21,aama um ivishtaantih?,,,,,,
karuk-2010-07-23-ag-vs-4_22,haa aama nivishtaantih.,,,,,,
karuk-2010-07-23-ag-vs-4_23,haa naa aama karu nivishtaantih.,,,,,,
karuk-2010-07-23-ag-vs-4_24,harivari pa'aama nu'aveesh?,,,,,,
karuk-2010-07-23-ag-vs-4_25,uumkun harivari pa'aama kunaveesh?,,,,,,
karuk-2010-07-23-ag-vs-4_26,yufishhi pa'aama.,,,,,,
karuk-2010-07-23-ag-vs-4_27,ishkih ukpuuhtih.,,,,,,
karuk-2010-07-23-ag-vs-4_28,ishkih um pa'akraa ukpuuhtih?,,,,,,
karuk-2010-07-23-ag-vs-4_29,ivishtaantih hum pa'akraah?,,,,,,
karuk-2010-07-23-ag-vs-4_30,faat kuma'ish?,,,,,,
karuk-2010-07-23-ag-vs-4_31,arara'ish nivishtaantih.,,,,,,
karuk-2010-07-23-ag-vs-4_32,ishaha ta ni'ish.,,,,,,
karuk-2010-07-23-ag-vs-4_33,pa'ishah ni'isheesh.,,,,,,
karuk-2010-07-23-ag-vs-4_34,pa'ishaha hum i'isheesh?,,,,,,
karuk-2010-07-23-ag-vs-4_35,naa yufish nivishtaantih.,,,,,,
karuk-2010-07-23-ag-vs-4_36,chimi papufich'iish numnisheesh.,,,,,,
karuk-2010-07-23-ag-vs-4_37,iimkun papufich'iish kumnisheesh?,,,,,,
karuk-2010-07-23-ag-vs-4_38,haa koovura numnisheesh papufich'iish.,,,,,,
karuk-2010-07-23-ag-vs-4_39,puuhara papufich'iish pukinimnisheeshara.,,,,,,
karuk-2010-07-23-ag-vs-4_40,papufich'iish um ivishtaantih?,,,,,,
karuk-2010-07-23-ag-vs-4_41,uum papufich'iish uvishtaantih.,,,,,,
karuk-2010-07-23-ag-vs-4_42,ipit numniishti papufich'iish.,,,,,,
karuk-2010-07-23-ag-vs-4_43,yufishhi papufich'iish.,,,,,,
karuk-2010-07-23-ag-vs-4_44,naa ip niyufishhat papufich'iish.,,,,,,
karuk-2010-07-23-ag-vs-4_45,ipit uxraah nu'avat.,,,,,,
karuk-2010-07-23-ag-vs-4_46,payeem uxraah nu'aamtih.,,,,,,
karuk-2010-07-23-ag-vs-4_47,uxraah nivishtaantih.,,,,,,
karuk-2010-07-23-ag-vs-4_48,iim uxraah ivishtaantih?,,,,,,
karuk-2010-07-23-ag-vs-4_49,ipit paxuun nu'avat.,,,,,,
karuk-2013-01-27-vs-1_A_01,pa'apsuun uum vura vaaram, pa'aan uum ipshuunkinich.,,,,,
karuk-2013-01-27-vs-1_A_02,pa'apsuun karu pa'aan xakaan vura yav.,,,,,,
karuk-2013-01-27-vs-1_A_03,pay uum pa'apsuun vura uum vaaram.,,,,,,
karuk-2013-01-27-vs-1_A_04,vura niinamich pa'asip.,,,,,,
karuk-2013-01-27-vs-1_A_05,keechas vura patakaakaa.,,,,,,
karuk-2013-01-27-vs-1_B_01,patakaakaatunveechas kaan kun'ichunvunaatih.,,,,,,
karuk-2013-01-27-vs-1_B_02,kun'ichunvunaatih, kaan.,,,,,
karuk-2013-01-27-vs-1_B_03,patakaakaatunveechas kun'ichunvunaatih.,,,,,,
karuk-2013-01-27-vs-1_B_04,,,,,,,
karuk-2013-01-27-vs-1_B_05,puna'aapunmutihara.,,,,,,
karuk-2013-01-27-vs-1_B_06,pananu'atraax vura uum ipshuunkinich.,,,,,,
karuk-2013-01-27-vs-1_B_07,vura nu'apimtih.,,,,,,
karuk-2013-01-27-vs-1_B_08,vaa kunish kunimusahiti pasaan.,,,,,,
karuk-2013-01-27-vs-1_B_09,kunish tuvaxrah.,,,,,,
karuk-2013-01-27-vs-1_B_10,pakeechas vura ta kunikxiipshur.,,,,,,
karuk-2013-01-27-vs-1_B_11,,,,,,,
karuk-2013-01-27-vs-1_B_12,,,,,,,
karuk-2013-01-27-vs-1_C_01,pamitipa ipeen ook naa.,,,,,,
karuk-2013-01-27-vs-1_C_02,mitipa ipeen ook naa.,,,,,,
karuk-2013-01-27-vs-1_C_03,vura uum puxich nu'itapeesh pa'ararahih.,,,,,,
karuk-2013-01-27-vs-1_C_04,,,,,,,
karuk-2013-01-27-vs-1_C_05,naa ipshuunkinich, kuna pananitipa uum vaaram.,,,,,
karuk-2013-01-27-vs-1_C_06,pay uum ipshuunkinich. pay cup uum vaaram.,,,,,,
karuk-2013-01-27-vs-1_C_07,pay uum pananikafih'asip ipshuunkinich.,,,,,,
frog-1,Avansaxiich u'ahooti karu pachishiih.,,,,,,
frog-10,Avansaxiich uchuphunishkooti pachishiih.,,,,,,
frog-10b,Xas uum paxanchiifich iin kinimuustih.,,,,,,
frog-10c,Pa'avansaxiich iin ta kunchuphunishkoo.,,,,,,
frog-11," Now, faat karu?",,,,,,
frog-11b, Pay'ook uum paxanchiifich.,,,,,,
frog-11c-cut,Uxutih," "" Neexaychakisheesh paxanchiifich.""",,,,,
frog-11d,Uxutih," "" Neexaychakish paxanchiifich.""",,,,,
frog-12, Pay'ook uum faat?,,,,,,
frog-12b-cut,Pa'avansaxiich uxutih," "" Neexaychakisheesh paxanchiifich.""",,,,,
frog-12c,Kunish ipshuunkinich pay.,,,,,,
frog-13-cut,Puyaif vura uum kaarim xas pamuchishiih xas tuxaychakish.,,,,,,
frog-13b-cut,Karu uum paxanchiifich uum too skaaksur.,,,,,,
frog-14-cut,Pay'ook uum xakaan kun'iin pa'avansaxiich karu pachishiih.,,,,,,
frog-14b-cut,Xas paxanchiifich kaan ukrii, saruk kaan ukrii.,,,,,
frog-15,Kari pachishiih karu ukrii.,,,,,,
frog-15b-cut,Ithyaruk xas ukuuntakoo paxanchiifich.,,,,,,
frog-16,Xas ikiich too kvurish.,,,,,,
frog-16b,Ikiich too kvurish tuxus too pvaaram.,,,,,,
frog-16c,Karu payeem vura vaa umuustih kari.,,,,,,
frog-17,Xas vura ta kunpiyaaram.,,,,,,
frog-18-cut,Xas vura uum too kvurish karu paxanchiifich.,,,,,,
frog-18b-cut,Xas vura umuustih huukava pata kunivyiihma, mukunfithih.,,,,,
frog-18c-cut,Vaa kaan kun'ahootiheen.,,,,,,
frog-19-cut,Xas vura kaan tu'uum vaa kaan u'aharamuraatih.,,,,,,
frog-19b-cut,Kaan pakun'ahootih.,,,,,,
frog-2-cut,Pa'avansaxiich usxaareesh karu pamuchishiih.,,,,,,
frog-20,Kari iish upaatvutih pa'axiich.,,,,,,
frog-20b-cut,Xas iish ta kunpaatva.,,,,,,
frog-20c-cut,Xas payeem iish ta kunpaatva.,,,,,,
frog-21,Xas vura uum paxanchiifich vura uum yav patoo pmahoonkoon.,,,,,,
frog-21b-cut,Iinaak ukrii.,,,,,,
frog-22-cut,Xas paxanchiifich iin ta kunimuusti pakunpaatvutih.,,,,,,
frog-23-cut,Xas payeem paxanchiifich too xus," "" Kiri naa karu nipaatveesh.""",,,,,
frog-23b,Xas umuustihinaa.,,,,,,
frog-24,Xas vura uum payeem ta kunpaatvaheen.,,,,,,
frog-24b-cut,Karu paxanchiifich u'uum vaa kaan, ukuuntakoo pachishihaxvaah.,,,,,
frog-3,Pa'avansaxiich umuusti paxanchiifich.,,,,,,
frog-4-cut,Ta kunithviripunih muchishiih xakaan.,,,,,,
frog-4b,Xas ta kunmah paxanchiifich.,,,,,,
frog-5,Xas too kviripunih kaan.,,,,,,
frog-5b,Xas too kyivish.,,,,,,
frog-5d-cut,Xas paxanchiifich uthitiv.,,,,,,
frog-6,Xas too kyiimkurih.,,,,,,
frog-6b,Xas pa'ishaha too kyiimkurih.,,,,,,
frog-6c,Pamufithih kich ta numah.,,,,,,
frog-6d-cut,Karu pachishiih upsaravriiktih, avansaxiich.,,,,,
frog-6e-cut,Tu'ay.,,,,,,
frog-7-cut,Xas pa'avansaxiich karu pachishiih ta kunmah paxanchiifich.,,,,,,
frog-7b-cut,Xas paxanchiifich payeem too mah.,,,,,,
frog-7c,Tu'aapunma uumkun yav.,,,,,,
frog-7d-cut,Yav too mah.,,,,,,
frog-8,Ikiich paxanchiifich xas too pvaaram.,,,,,,
frog-9-cut,Xas payeem paxanchiifich tu'ipak.,,,,,,
frog-9b,Xas too muustihinaa pa'avansaxiich karu ... Hooy uum pachishiih?,,,,,,
frog-9c-cut,Xas paxanchiifich too muusti pachishiih karu pa'avansaxiich.,,,,,,
karuk-2012-10-20-vs-4_A_01,ayukii.,,,,,,
karuk-2012-10-20-vs-4_A_02,huut iim?,,,,,,
karuk-2012-10-20-vs-4_A_03,huut ti'iin?,,,,,,
karuk-2012-10-20-vs-4_A_04,huut kich?,,,,,,
karuk-2012-10-20-vs-4_A_05,naa vura yav.,,,,,,
karuk-2012-10-20-vs-4_A_06,vura yav.,,,,,,
karuk-2012-10-20-vs-4_A_07,naa yeeshiip.,,,,,,
karuk-2012-10-20-vs-4_A_08,iim hum huut?,,,,,,
karuk-2012-10-20-vs-4_A_09,if xara xas ta nupmah.,,,,,,
karuk-2012-10-20-vs-4_A_10,hooy ti'aramsiipriv?,,,,,,
karuk-2012-10-20-vs-4_A_11,naa Orleans ni'aramsiiprivtih.,,,,,,
karuk-2012-10-20-vs-4_A_12,Orleans ni'aramsiiprivtih.,,,,,,
karuk-2012-10-20-vs-4_A_13,panamniik ni'aramsiiprivtih.,,,,,,
karuk-2012-10-20-vs-4_A_14,huut kich peempaah?,,,,,,
karuk-2012-10-20-vs-4_A_15,huut kich peeshkeesh?,,,,,,
karuk-2012-10-20-vs-4_A_16,yav umusahiti pa'ishkeesh.,,,,,,
karuk-2012-10-20-vs-4_A_17,peeshkeesh yav umusahitih.,,,,,,
karuk-2012-10-20-vs-4_A_18,peeshkeesh vura yav umusahitih.,,,,,,
karuk-2012-10-20-vs-4_A_19,axvithirar peeshkeesh.,,,,,,
karuk-2012-10-20-vs-4_A_20,peeshkeesh tu'uh.,,,,,,
karuk-2012-10-20-vs-4_A_21,peeshkeesh tupivaxrah.,,,,,,
karuk-2012-10-20-vs-4_A_22,chi upathriheesh hum?,,,,,,
karuk-2012-10-20-vs-4_A_23,kunish chi upathriheesh.,,,,,,
karuk-2012-10-20-vs-4_A_24,chi nivaarameesh.,,,,,,
karuk-2012-10-20-vs-4_A_25,chimi nivaarameesh.,,,,,,
karuk-2012-10-20-vs-4_A_26,imaan kunish upathriheesh.,,,,,,
karuk-2012-10-20-vs-4_A_27,kunish upathriheesh.,,,,,,
karuk-2012-10-20-vs-4_A_28,kumateech uum kunish umchaxeesh.,,,,,,
karuk-2012-10-20-vs-4_A_29,kumateech uum umchaxeesh.,,,,,,
karuk-2012-10-20-vs-4_A_30,kumateechvanihich umchaxeesh.,,,,,,
karuk-2012-10-20-vs-4_A_31,faat iimkun kukupaveenahitih?,,,,,,
karuk-2012-10-20-vs-4_A_32,faat iimkun kukupaveenatih?,,,,,,
karuk-2012-10-20-vs-4_A_33,iim faat ikupaveenatih?,,,,,,
karuk-2012-10-20-vs-4_A_34,purafaat.,,,,,,
karuk-2012-10-20-vs-4_A_35,purafaat vura.,,,,,,
karuk-2012-10-20-vs-4_A_36,purafaat vura nikupaveenatih.,,,,,,
karuk-2012-10-20-vs-4_A_37,huut ipitih?,,,,,,
karuk-2012-10-20-vs-4_A_38,huut tee piip?,,,,,,
karuk-2012-10-20-vs-4_A_39,huut ikupaveenatih?,,,,,,
karuk-2012-10-20-vs-4_A_40,faat i'aapunmutih?,,,,,,
karuk-2012-10-20-vs-4_A_41,huut mithvuy?,,,,,,
karuk-2012-10-20-vs-4_A_42,huut ithvuuytih?,,,,,,
karuk-2012-10-20-vs-4_A_43,nanithvuy uum Vina.,,,,,,
karuk-2012-10-20-vs-4_A_44,Vina nithvuuytih.,,,,,,
karuk-2012-10-20-vs-4_A_45,pusihich ithvuuyti hum?,,,,,,
karuk-2012-10-20-vs-4_A_46,akaay iim mi'araaras?,,,,,,
karuk-2012-10-20-vs-4_A_47,akaay mi'araaras?,,,,,,
karuk-2012-10-20-vs-4_A_48,huut kich pamitaat?,,,,,,
karuk-2012-10-20-vs-4_A_49,huut kich pami'akah?,,,,,,
karuk-2012-10-20-vs-4_A_50,hooy tivaaram?,,,,,,
karuk-2012-10-20-vs-4_B_01,yav uum imnishaan um?,,,,,,
karuk-2012-10-20-vs-4_B_02,faat poomniishtih?,,,,,,
karuk-2012-10-20-vs-4_B_03,hooy ivaarameesh?,,,,,,
karuk-2012-10-20-vs-4_B_04,hooyva vura panivaarameesh.,,,,,,
karuk-2012-10-20-vs-4_B_05,fataak nivaarameesh.,,,,,,
karuk-2012-10-20-vs-4_B_06,Orleans nivaarameesh.,,,,,,
karuk-2012-10-20-vs-4_B_07,ifyaa tu'uum?,,,,,,
karuk-2012-10-20-vs-4_B_08,suva nik nupmaheesh.,,,,,,
karuk-2012-10-20-vs-4_B_09,kumateechvanihich nik nupmaheesh.,,,,,,
karuk-2012-10-20-vs-4_B_10,chimi kuyaapkuh.,,,,,,
karuk-2012-10-20-vs-4_B_11,chimi.,,,,,,
karuk-2012-10-20-vs-4_B_12,haa.,,,,,,
karuk-2012-10-20-vs-4_B_13,puuhara.,,,,,,
karuk-2012-10-20-vs-4_B_14,ikiich.,,,,,,
karuk-2012-10-20-vs-4_B_15,yootva.,,,,,,
karuk-2012-10-20-vs-4_B_16,vaa vura yav.,,,,,,
karuk-2012-10-20-vs-4_B_17,yav.,,,,,,
karuk-2012-10-20-vs-4_B_18,chimi man ta nipvaaram.,,,,,,
karuk-2012-10-20-vs-4_B_19,atafaat.,,,,,,
karuk-2012-10-20-vs-4_B_20,ikiich panamniik nivaarameesh.,,,,,,
karuk-2012-10-20-vs-4_B_21,huun ata.,,,,,,
karuk-2012-10-20-vs-4_B_22,imaan nupmaheesh.,,,,,,
karuk-2012-10-20-vs-4_B_23,suvanik imaan.,,,,,,
karuk-2012-10-20-vs-4_B_24,tithitiv um?,,,,,,
karuk-2012-10-20-vs-4_B_25,ti'aapunma hum?,,,,,,
karuk-2012-10-20-vs-4_B_26,i'aapunmuti hum vura nik?,,,,,,
karuk-2012-10-20-vs-4_B_27,naa ni'aapunmutih.,,,,,,
karuk-2012-10-20-vs-4_B_28,ni'aapunmuti vura.,,,,,,
karuk-2012-10-20-vs-4_B_29,puna'aapunmutihara.,,,,,,
karuk-2012-10-20-vs-4_B_30,man'ata.,,,,,,
karuk-2012-10-20-vs-4_B_31,kukuum nipeesh.,,,,,,
karuk-2012-10-20-vs-4_B_32,pay kich kukuum nipeesh.,,,,,,
karuk-2012-10-20-vs-4_B_33,kukuum piipi.,,,,,,
karuk-2012-10-20-vs-4_B_34,pay kich piipi.,,,,,,
karuk-2012-10-20-vs-4_B_35,tipipshiinvarihva hum?,,,,,,
karuk-2012-10-20-vs-4_B_36,huut iim mithvuy?,,,,,,
karuk-2012-10-20-vs-4_B_37,huut iim ithvuuytih?,,,,,,
karuk-2012-10-20-vs-4_B_38,kacha'iich vura chuuphi.,,,,,,
karuk-2012-10-20-vs-4_C_01,chaka'iimich vura chuuphi.,,,,,,
karuk-2012-10-20-vs-4_C_02,puun nivishtaantih.,,,,,,
karuk-2012-10-20-vs-4_C_03,ikiich tee xuriha.,,,,,,
karuk-2012-10-20-vs-4_C_04,faat iim i'aveesh?,,,,,,
karuk-2012-10-20-vs-4_C_05,naa sara ni'aveesh.,,,,,,
karuk-2012-10-20-vs-4_C_06,putiruh karu ni'aveesh.,,,,,,
karuk-2012-10-20-vs-4_C_07,koovura vura miputiruh nithafipeesh.,,,,,,
karuk-2012-10-20-vs-4_C_08,faat koovura panu'aveesh?,,,,,,
karuk-2012-10-20-vs-4_C_09,faat koovura nu'aveesh?,,,,,,
karuk-2012-10-20-vs-4_C_10,faat nu'aveesh?,,,,,,
karuk-2012-10-20-vs-4_C_11,taak payufish.,,,,,,
karuk-2012-10-20-vs-4_C_12,taak pasikih.,,,,,,
karuk-2012-10-20-vs-4_C_13,pasikih na'eehi.,,,,,,
karuk-2012-10-20-vs-4_C_14,neektavihi.,,,,,,
karuk-2012-10-20-vs-4_C_15,ta naxuriha.,,,,,,
karuk-2012-10-20-vs-4_C_16,punaxurihitihara.,,,,,,
karuk-2012-10-20-vs-4_C_17,ishaha ta neexrah.,,,,,,
karuk-2012-10-20-vs-4_C_18,iim tee xrah?,,,,,,
karuk-2012-10-20-vs-4_C_19,iimkun ta kuxrah?,,,,,,
karuk-2012-10-20-vs-4_C_20,naa vura ta nayaavaha.,,,,,,
karuk-2012-10-20-vs-4_C_21,ta neekvurishrih.,,,,,,
karuk-2012-10-20-vs-4_C_22,ta neekfuuyshur.,,,,,,
karuk-2012-10-20-vs-4_C_23,faat uum pay?,,,,,,
karuk-2012-10-20-vs-4_C_24,faat uum vaa?,,,,,,
karuk-2012-10-20-vs-4_C_25,faat kook?,,,,,,
karuk-2012-10-20-vs-4_C_26,cheemyaach.,,,,,,
karuk-2012-10-20-vs-4_C_27,ni'ahoovish.,,,,,,
karuk-2012-10-20-vs-4_C_28,ook naa.,,,,,,
karuk-2012-10-20-vs-4_C_29,chimi choora.,,,,,,
karuk-2012-10-20-vs-4_C_30,choora.,,,,,,
karuk-2012-10-20-vs-4_C_31,koovura nuvyiihshipreevish.,,,,,,
karuk-2012-10-20-vs-4_C_32,nukookaneesh.,,,,,,
karuk-2012-10-20-vs-4_C_33,chuvaarap.,,,,,,
karuk-2012-10-20-vs-4_C_34,xayfaat ichuuphitih!,,,,,,
karuk-2012-10-20-vs-4_C_35,xayfaat kuchuuphinaatih!,,,,,,
karuk-2012-10-20-vs-4_C_36,xayfaat taay ik papay i'iinatih!,,,,,,
karuk-2012-10-20-vs-4_C_37,ka'iruu!,,,,,,
karuk-2012-10-20-vs-4_C_38,pay'ook ikriish!,,,,,,
karuk-2012-10-20-vs-4_C_39,ihyarihship!,,,,,,
karuk-2012-10-20-vs-4_C_40,voonfuruk.,,,,,,
karuk-2012-10-20-vs-4_C_41,chimi kiivyiihfuruk.,,,,,,
karuk-2012-10-20-vs-4_C_42,iikam voonupuk.,,,,,,
karuk-2012-10-20-vs-4_C_43,ahup ikyav.,,,,,,
karuk-2012-10-20-vs-4_C_44,ahup kiikyav.,,,,,,
karuk-2012-10-20-vs-4_C_45,ahup kiikyaavunaa.,,,,,,
karuk-2012-10-20-vs-4_C_46,niyuuhveesh.,,,,,,
karuk-2012-10-20-vs-4_C_47,iim karu.,,,,,,
karuk-2012-10-20-vs-4_C_48,iimkun karu.,,,,,,
karuk-2012-10-20-vs-4_D_01,,,,,,,
karuk-2012-10-20-vs-4_D_02,mah'iitnihich.,,,,,,
karuk-2012-10-20-vs-4_D_03,payeem uum mah'iitnihich.,,,,,,
karuk-2012-10-20-vs-4_D_04,,,,,,,
karuk-2012-10-20-vs-4_D_05,ta mah'iit.,,,,,,
karuk-2012-10-20-vs-4_D_06,chimi ikfuuksip payeem.,,,,,,
karuk-2012-10-20-vs-4_D_07,ta kari chimi ikfuuksip.,,,,,,
karuk-2012-10-20-vs-4_D_08,ta kari.,,,,,,
karuk-2012-10-20-vs-4_D_09,cheech kiikarihi!,,,,,,
karuk-2012-10-20-vs-4_D_10,chimi kiikarihi!,,,,,,
karuk-2012-10-20-vs-4_D_11,iim tee kariha?,,,,,,
karuk-2012-10-20-vs-4_D_12,iim tee kariha hum?,,,,,,
karuk-2012-10-20-vs-4_D_13,titxaarihva hum?,,,,,,
karuk-2012-10-20-vs-4_D_14,tikariha hum?,,,,,,
karuk-2012-10-20-vs-4_D_15,tusupaaha.,,,,,,
karuk-2012-10-20-vs-4_D_16,aav paatvi!,,,,,,
karuk-2012-10-20-vs-4_D_17,chimi koovura aav kiikpaatvi!,,,,,,
karuk-2012-10-20-vs-4_D_18,iptaxatihi!,,,,,,
karuk-2012-10-20-vs-4_D_19,koovura kiiptaxatihi!,,,,,,
karuk-2012-10-20-vs-4_D_20,pamivu pithxahi!,,,,,,
karuk-2012-10-20-vs-4_D_21,koovura pamikunvu kiikpithxahi!,,,,,,
karuk-2012-10-20-vs-4_D_22,ta avahiv.,,,,,,
karuk-2012-10-20-vs-4_D_23,iimkun ta kuxuriha?,,,,,,
karuk-2012-10-20-vs-4_D_24,ta kuxuriha hum?,,,,,,
karuk-2012-10-20-vs-4_D_25,tee xuriha hum?,,,,,,
karuk-2012-10-20-vs-4_D_26,faat iim i'aveesh?,,,,,,
karuk-2012-10-20-vs-4_D_27,faat iimkun ku'aveesh?,,,,,,
karuk-2012-10-20-vs-4_D_28,faat uum koovura nu'aveesh?,,,,,,
karuk-2012-10-20-vs-4_D_29,,,,,,,
karuk-2012-10-20-vs-4_D_30,faat nu'amvunaavish?,,,,,,
karuk-2012-10-20-vs-4_D_31,chimi nu'am!,,,,,,
karuk-2012-10-20-vs-4_D_32,chimi ta avahiv!,,,,,,
karuk-2012-10-20-vs-4_D_33,taay vura na'akihi!,,,,,,
karuk-2012-10-20-vs-4_D_34,kukuum taay vura na'akihi!,,,,,,
karuk-2012-10-20-vs-4_D_35,tee kvurishrih hum?,,,,,,
karuk-2012-10-20-vs-4_D_36,naa vura ta neekvurishrih.,,,,,,
karuk-2012-10-20-vs-4_D_37,ipuunveesh hum?,,,,,,
karuk-2012-10-20-vs-4_D_38,nipuunveesh.,,,,,,
karuk-2012-10-20-vs-4_D_39,nipuunveesh vura.,,,,,,
karuk-2012-10-20-vs-4_D_40,iim karu.,,,,,,
karuk-2012-10-20-vs-4_D_41,chimi nupuunvi!,,,,,,
karuk-2012-10-20-vs-4_D_42,chi nupuunvi!,,,,,,
karuk-2012-10-20-vs-4_D_43,ta neekviit-ha.,,,,,,
karuk-2012-10-20-vs-4_D_44,iimkun kiikviit-hinaa!,,,,,,
karuk-2012-10-20-vs-4_D_45,ipyukukuhi pamiyukukuh!,,,,,,
karuk-2012-10-20-vs-4_D_46,kiipyukukuhi!,,,,,,
karuk-2012-10-20-vs-4_D_47,kiipyukukuhi pamiyukukuh, Andrew karu Line!,,,,,
karuk-2012-10-20-vs-4_D_48,iimkun kiipiyukukuhsuroo!,,,,,,
karuk-2012-10-20-vs-4_D_49,kiipiyukukuhsuroo!,,,,,,
karuk-2012-10-20-vs-4_D_50,kiikpishnakarishukva pamikunsaanva!,,,,,,
karuk-2012-10-20-vs-4_D_51,,,,,,,
karuk-2012-10-20-vs-4_D_52,kiikviit-hinaa!,,,,,,
karuk-2013-10-27-vs-2_01,uhyanavaraar muuk nuchuupheesh.,,,,,,
karuk-2013-10-27-vs-2_02,xayfaat uhyanavaraar muuk nuchuupha!,,,,,,
karuk-2013-10-27-vs-2_03,harivari nachuphuunisheesh?,,,,,,
karuk-2013-10-27-vs-2_04,ikiich uhyanavaraar muuk nuchuupheesh.,,,,,,
karuk-2013-10-27-vs-2_05,papakiihar karu nikiiheesh.,,,,,,
karuk-2013-10-27-vs-2_06,kiiha pachivchakar!,,,,,,
karuk-2013-10-27-vs-2_07,nishxaareesh.,,,,,,
karuk-2013-10-27-vs-2_08,xayfaat ishxaar!,,,,,,
karuk-2013-10-27-vs-2_09,hooy pamiishxaar?,,,,,,
karuk-2013-10-27-vs-2_10,nishxaareesh pananiishxaar.,,,,,,
karuk-2013-10-27-vs-2_11,pananiishxaar nishxaareesh payeem.,,,,,,
karuk-2013-10-27-vs-2_12,peekrupkaanvar nihruuvti pa'as vaa nishxaareesh.,,,,,,
karuk-2013-10-27-vs-2_13,nikmarakuriheeshva.,,,,,,
karuk-2013-10-27-vs-2_14,pananisaanva nipithxaheesh.,,,,,,
karuk-2013-10-27-vs-2_15,soap muuk nipithxaheesh.,,,,,,
karuk-2013-10-27-vs-2_16,akaay tu'ahoo?,,,,,,
karuk-2013-10-27-vs-2_17,nitatuyshureesh pa'iirish.,,,,,,
karuk-2013-10-27-vs-2_18,pimustihvaanar nimuustiheesh naa.,,,,,,
karuk-2013-10-27-vs-2_19,ishahak nimuustiheesh naa.,,,,,,
karuk-2013-10-27-vs-2_20,pa'ishahak nimuustiheesh vaa kaan.,,,,,,
karuk-2013-10-27-vs-2_21,pimustihvaanar muuk nimuustiheesh naa.,,,,,,
karuk-2013-10-27-vs-2_22,pananivuh nipithxaheesh.,,,,,,
karuk-2013-10-27-vs-2_23,vuhapithxahar muuk nipithxaheesh pananivuh.,,,,,,
karuk-2013-10-27-vs-2_24,ahup muuk nipithxaheesh pananivuh.,,,,,,
karuk-2013-10-27-vs-2_25,yufish karu ni'ihroovish vaa paninivuh nipithxaheesh.,,,,,,
karuk-2013-10-27-vs-2_26,yufish ni'ihroovish vaa karu nipithxaheesh pananivuh.,,,,,,
karuk-2013-10-27-vs-2_27,vaa kaan ni'iripeesh.,,,,,,
karuk-2013-10-27-vs-2_28,iikam vaa kaan ni'iripeesh.,,,,,,
karuk-2013-10-27-vs-2_29,tanukyaanar muuk ni'iripeesh.,,,,,,
karuk-2013-10-27-vs-2_30,ikrivraam nikyaat.,,,,,,
karuk-2013-10-27-vs-2_31,ahup muuk nikyaat pa'ikrivraam.,,,,,,
karuk-2013-10-27-vs-2_32,ahup muuk nikyaakoopa patas.,,,,,,
karuk-2013-10-27-vs-2_33,ta nipikyaar patas.,,,,,,
karuk-2013-10-27-vs-2_34,ta nipikyaar pananichuupha.,,,,,,
karuk-2013-10-27-vs-2_35,ta nipikyaar pananipithxa pananisaanva.,,,,,,
karuk-2013-10-27-vs-2_36,panishxaaytih ta nipikyaar.,,,,,,
karuk-2015-04-21-vs-5_01,axak pananifyiivshas karu avansa karu muhrooha.,,,,,,
karuk-2015-04-21-vs-5_02,xas vaa ta nu'akunvar.,,,,,,
karuk-2015-04-21-vs-5_03,xas vaa ta nu'akunvar papuufich, impaah.,,,,,
karuk-2015-04-21-vs-5_04,xas vaa pa'avansa ukuniihka papuufich.,,,,,,
karuk-2015-04-21-vs-5_05,xas vura yiiv saruk.,,,,,,
karuk-2015-04-21-vs-5_06,xas uxuti kunish yiim niinamich papuufich, xas poo'uum xas vura uum pufichkaam.,,,,,
karuk-2015-04-21-vs-5_07,xas vura uum vaa kaan xas uupiipha vura uum keech papuufich uum, vura uum maath.,,,,,
karuk-2015-04-21-vs-5_08,xas vura vaa maruk, u'ahoo.,,,,,
karuk-2015-04-21-vs-5_09,xas vaa kaan tuvupaksuroo.,,,,,,
karuk-2015-04-21-vs-5_10a,Ithinktheyhavetocleanitrightaway,sotheblooddoesn'tsettle,youknow,inoneplaceorsomething,Idon'tknowwhytheyhavetodothat,that'sonethingI puna'aapunmutihara.,
karuk-2015-04-21-vs-5_10b,xas vaa kaan tuvupaksur.,,,,,,
