audio,transcription,transcription_mfa,speaker
karuk-2011-12-21-vs-8_20,niheeratih.,niheeratih,VS
karuk-2011-12-21-vs-8_21,naa niheeratih.,naa niheeratih,VS
karuk-2011-12-21-vs-8_22,naa vura itihaan paniheeratih.,naa vura itihaan paniheeratih,VS
karuk-2011-12-21-vs-8_23,naa vura itihaan niheeratih.,naa vura itihaan niheeratih,VS
karuk-2011-12-21-vs-8_24,naa puneeheeratihara.,naa puneeheeratihara,VS
karuk-2011-12-21-vs-8_25,naa niheeratih.,naa niheeratih,VS
karuk-2011-12-21-vs-8_26,naa nikfuyfuuytih.,naa nikfuyfuuytih,VS
karuk-2011-12-21-vs-8_27,naa nikfuy.,naa nikfuy,VS
karuk-2011-12-21-vs-8_28,Andrew too kfuy.,Andrew too kfuy,VS
karuk-2011-12-21-vs-8_29,ta nikfuy.,ta nikfuy,VS
karuk-2011-12-21-vs-8_30,naa ta nikfuy.,naa ta nikfuy,VS
karuk-2011-12-21-vs-8_31,naa puneekfuuytihara.,naa puneekfuuytihara,VS
karuk-2011-12-21-vs-8_32,naa nipakuriihvutih.,naa nipakuriihvutih,VS
karuk-2011-12-21-vs-8_33,naa punapakuriihvutihara.,naa punapakuriihvutihara,VS
karuk-2011-12-21-vs-8_34,iim ta numah.,iim ta numah,VS
karuk-2011-12-21-vs-8_35,ta nimah.,ta nimah,VS
karuk-2011-12-21-vs-8_36,punamaahtihara.,punamaahtihara,VS
karuk-2011-12-21-vs-8_37,punamaahtih.,punamaahtih,VS
karuk-2011-12-21-vs-8_38,naa vura punapakuriihvutihara.,naa vura punapakuriihvutihara,VS
karuk-2011-12-21-vs-8_39,punapakuriihvutihara.,punapakuriihvutihara,VS
karuk-2011-12-21-vs-8_40,pananipusihich ni'apimtih.,pananipusihich niqapimtih,VS
karuk-2011-12-21-vs-8_41,ni'apimtih.,niqapimtih,VS
karuk-2011-12-21-vs-8_42,pananipusihich ta ni'apiv.,pananipusihich ta niqapiv,VS
karuk-2011-12-21-vs-8_43,puna'apimtihara.,punaqapimtihara,VS
karuk-2011-12-21-vs-8_44,ta neemchak.,ta neemchak,VS
karuk-2011-12-21-vs-8_45,iim karu imchakvaan?,iim karu imchakvaan,VS
karuk-2011-12-21-vs-8_46,too mchak.,too mchak,VS
karuk-2011-12-21-vs-8_47,iim tee mchak.,iim tee mchak,VS
karuk-2011-12-21-vs-8_48,nikshaahtih.,nikshaahtih,VS
karuk-2011-12-21-vs-8_49,naa nikshaahti.,naa nikshaahti,VS
karuk-2011-12-21-vs-8_50,nipikshaahtih.,nipikshaahtih,VS
karuk-2011-12-21-vs-8_51,naa nikshaahti vaa.,naa nikshaahti vaa,VS
karuk-2011-12-21-vs-8_52,faat ta nikuupha?,faat ta nikuupha,VS
karuk-2011-12-21-vs-8_53,iim teekshah.,iim teekshah,VS
karuk-2011-12-21-vs-8_54,iim tee takav paxut.,iim tee takav paxut,VS
karuk-2011-12-21-vs-8_55,ta nitakav.,ta nitakav,VS
karuk-2011-12-21-vs-8_56,iim tee takav pamifyiiv.,iim tee takav pamifyiiv,VS
karuk-2011-12-21-vs-8_57,ipit iikam pahaknah ook kaan ukrii.,ipit iikam pahaknah ook kaan ukrii,VS
karuk-2011-12-21-vs-8_58,ook kaan iikam ukrii pahaknah.,ook kaan iikam ukrii pahaknah,VS
karuk-2011-12-21-vs-8_59,iikam ukrii.,iikam ukrii,VS
karuk-2011-12-21-vs-8_60,pachinim pa'ipita iinaak uvoonfurukatih.,pachinim paqipita iinaak uvoonfurukatih,VS
karuk-2011-12-21-vs-8_61,iikam pa'ipit nimah mi'aramah.,iikam paqipit nimah miqaramah,VS
karuk-2011-12-21-vs-8_62,iikam vura taay pa'eeth.,iikam vura taay paqeeth,VS
karuk-2011-12-21-vs-8_63,ipit pa'eeth iikam kaan ukrii.,ipit paqeeth iikam kaan ukrii,VS
karuk-2011-12-21-vs-8_64,ipit pa'eeth iikam ukrii.,ipit paqeeth iikam ukrii,VS
karuk-2011-08-16-vs-2_01,hooy ithiishriheesh?,hooy ithiishriheesh,VS
karuk-2011-08-16-vs-2_02,hooy itharishriheesh?,hooy itharishriheesh,VS
karuk-2011-08-16-vs-2_03,hooy iiyeeshriheesh?,hooy iiyeeshriheesh,VS
karuk-2011-08-16-vs-2_04,xayfaat aapun isharishriheesh.,xayfaat aapun isharishriheesh,VS
karuk-2011-08-16-vs-2_05,ta nipyukukuh pananiyukukuh.,ta nipyukukuh pananiyukukuh,VS
karuk-2011-08-16-vs-2_06,ipyukukuh pamiyukukuh.,ipyukukuh pamiyukukuh,VS
karuk-2011-08-16-vs-2_07,ta nipyukukuhsuru.,ta nipyukukuhsuru,VS
karuk-2011-08-16-vs-2_08,ipyukukuhsuru miyukukuh.,ipyukukuhsuru miyukukuh,VS
karuk-2011-08-16-vs-2_09,koovura pasasip.,koovura pasasip,VS
karuk-2011-08-16-vs-2_10,ni'ahootih.,niqahootih,VS
karuk-2011-08-16-vs-2_11,paykuuk mukrivraam ta ni'ahoo.,paykuuk mukrivraam ta niqahoo,VS
karuk-2011-08-16-vs-2_12,mikrivraam ni'uumeesh.,mikrivraam niquumeesh,VS
karuk-2011-08-16-vs-2_13,nikviripeesh pamikrivraam.,nikviripeesh pamikrivraam,VS
karuk-2011-08-16-vs-2_14,nikpuuhmeesh pamikrivraam.,nikpuuhmeesh pamikrivraam,VS
karuk-2011-08-16-vs-2_15,naa vura payeem nikpuhuthunavish.,naa vura payeem nikpuhuthunavish,VS
karuk-2011-08-16-vs-2_16,naa pananikrivraam ni'aramsiiprimtih.,naa pananikrivraam niqaramsiiprimtih,VS
karuk-2011-08-16-vs-2_17,iim hooy i'aramsiiprimtih?,iim hooy iqaramsiiprimtih,VS
karuk-2011-08-16-vs-2_18,hooy tu'aramsiip?,hooy tuqaramsiip,VS
karuk-2011-08-16-vs-2_19,hooy ta kun'aramsiipriv?,hooy ta kunqaramsiipriv,VS
karuk-2011-08-16-vs-2_20,piimich ni'uumeesh kahtishraam.,piimich niquumeesh kahtishraam,VS
karuk-2011-08-16-vs-2_21,naa kahtishraam mupiimich kaan panikrii.,naa kahtishraam mupiimich kaan panikrii,VS
karuk-2011-08-16-vs-2_22,hooy iim peekrii?,hooy iim peekrii,VS
karuk-2011-08-16-vs-3_01,iinaak tuvoonfuruk.,iinaak tuvoonfuruk,VS
karuk-2011-08-16-vs-3_02,iinaak tukviripma.,iinaak tukviripma,VS
karuk-2011-08-16-vs-3_03,iinaak too kxipma pa'achviiv.,iinaak too kxipma paqachviiv,VS
karuk-2011-08-16-vs-3_04,xayfaat too 'ikxipma iinaak.,xayfaat too qikxipma iinaak,VS
karuk-2011-08-16-vs-3_05,naa iinaak nikxipmeesh mikrivraam.,naa iinaak nikxipmeesh mikrivraam,VS
karuk-2011-08-16-vs-3_06,vaa ip kaan ukyamiichvutih xas too kxip.,vaa ip kaan ukyamiichvutih xas too kxip,VS
karuk-2011-08-16-vs-3_07,pa'achviiv too ikxiipship.,paqachviiv too ikxiipship,VS
karuk-2011-08-16-vs-3_08,pa'aama too kpuuhsip.,paqaama too kpuuhsip,VS
karuk-2011-08-16-vs-3_09,pa'avansa maruk too kfukuraa.,paqavansa maruk too kfukuraa,VS
karuk-2011-08-16-vs-3_11,naa karu maruk ta nikfukuraa.,naa karu maruk ta nikfukuraa,VS
karuk-2011-08-16-vs-3_12,xayfaat maruk ivaaram.,xayfaat maruk ivaaram,VS
karuk-2011-08-16-vs-3_13,xayfaat saruk i'arihfak.,xayfaat saruk iqarihfak,VS
karuk-2011-08-16-vs-3_14,naa karu saruk ni'arihfakeesh.,naa karu saruk niqarihfakeesh,VS
karuk-2011-08-16-vs-3_15,akaay saruk tu'arihfak?,akaay saruk tuqarihfak,VS
karuk-2011-08-16-vs-3_16,akaay saruk too arihfakuheen ipit?,akaay saruk too arihfakuheen ipit,VS
karuk-2011-08-16-vs-3_17,pa'achviiv maruk too kxipuraa ipit.,paqachviiv maruk too kxipuraa ipit,VS
karuk-2011-08-16-vs-3_18,pa'as ta nitharishrih xas pahup'asip.,paqas ta nitharishrih xas pahupqasip,VS
karuk-2011-08-16-vs-3_19,pa'apsuun kaan puuvish ukrii.,paqapsuun kaan puuvish ukrii,VS
karuk-2011-08-16-vs-3_20,nipaatheesh pa'as.,nipaatheesh paqas,VS
karuk-2011-08-16-vs-3_21,pa'as kaan nipaathkuriheesh.,paqas kaan nipaathkuriheesh,VS
karuk-2011-08-16-vs-3_22,papuuvish vaa kaan pa'as nipaathkuriheesh.,papuuvish vaa kaan paqas nipaathkuriheesh,VS
karuk-2011-08-16-vs-3_23,vaa kaan uthaantakoo ahup'asipak.,vaa kaan uthaantakoo ahupqasipak,VS
karuk-2011-08-16-vs-3_24,pa'as uum ahup'asipak surukam.,paqas uum ahupqasipak surukam,VS
karuk-2011-08-16-vs-3_25,vaa kaan pa'apsuun ukrii asip surukam.,vaa kaan paqapsuun ukrii asip surukam,VS
karuk-2011-08-16-vs-3_26,xayfaat vaa kaan itharishrih ahup'asip surukam.,xayfaat vaa kaan itharishrih ahupqasip surukam,VS
karuk-2010-07-23-ag-vs-1_01,achviiv ta nimah.,achviiv ta nimah,VS
karuk-2010-07-23-ag-vs-1_02,achviiv tee mah.,achviiv tee mah,VS
karuk-2010-07-23-ag-vs-1_03,achviiv ta numah.,achviiv ta numah,VS
karuk-2010-07-23-ag-vs-1_05,huuka too kxipma pa'achviiv?,huuka too kxipma paqachviiv,VS
karuk-2010-07-23-ag-vs-1_06,tee mah hum pa'achviiv?,tee mah hum paqachviiv,VS
karuk-2010-07-23-ag-vs-1_07,imuusti pa'achviiv.,imuusti paqachviiv,VS
karuk-2010-07-23-ag-vs-1_08,yaxa pa'achviiv!,yaxa paqachviiv,VS
karuk-2010-07-23-ag-vs-1_09,ta nimah pavirusur.,ta nimah pavirusur,VS
karuk-2010-07-23-ag-vs-1_10,pavirusur ip nimah.,pavirusur ip nimah,VS
karuk-2010-07-23-ag-vs-1_11,pavirusura ishkih too kviip.,pavirusura ishkih too kviip,VS
karuk-2010-07-23-ag-vs-1_12,pavirusur ipit ishkih ukviip.,pavirusur ipit ishkih ukviip,VS
karuk-2010-07-23-ag-vs-1_13,tee mah hum papuufich?,tee mah hum papuufich,VS
karuk-2010-07-23-ag-vs-1_14,chak'iimich papuufich tu'ahoo.,chakqiimich papuufich tuqahoo,VS
karuk-2010-07-23-ag-vs-1_15,papuufich tukuniihka.,papuufich tukuniihka,VS
karuk-2010-07-23-ag-vs-1_16,imaan papuufich ukuniihkeesh.,imaan papuufich ukuniihkeesh,VS
karuk-2010-07-23-ag-vs-1_17,imaan papuufich nikuniihkeesh.,imaan papuufich nikuniihkeesh,VS
karuk-2010-07-23-ag-vs-1_18,yaxa pa'akviish!,yaxa paqakviish,VS
karuk-2010-07-23-ag-vs-1_19,naa vura imxathakeem.,naa vura imxathakeem,VS
karuk-2010-07-23-ag-vs-1_20,yaxa pa'akvaat!,yaxa paqakvaat,VS
karuk-2010-07-23-ag-vs-1_21,yaxa paykuuk!,yaxa paykuuk,VS
karuk-2010-07-23-ag-vs-1_22,yaxa pay!,yaxa pay,VS
karuk-2010-07-23-ag-vs-1_23,vaa yav panikpuuhtih.,vaa yav panikpuuhtih,VS
karuk-2010-07-23-ag-vs-1_24,faat uum pamusmus u'aamtih?,faat uum pamusmus uqaamtih,VS
karuk-2010-07-23-ag-vs-1_25,pamusmus uum pirish u'aamtih.,pamusmus uum pirish uqaamtih,VS
karuk-2010-07-23-ag-vs-2_01,panakish uum axvithirar.,panakish uum axvithirar,VS
karuk-2010-07-23-ag-vs-2_02,hooy panakish?,hooy panakish,VS
karuk-2010-07-23-ag-vs-2_03,hooy pananinakish?,hooy pananinakish,VS
karuk-2010-07-23-ag-vs-2_04,panakish nithiinatih.,panakish nithiinatih,VS
karuk-2010-07-23-ag-vs-2_05,chishiih nithiinatih.,chishiih nithiinatih,VS
karuk-2010-07-23-ag-vs-3_01,faat ikyaatih?,faat ikyaatih,VS
karuk-2010-07-23-ag-vs-3_02,faat teekyaatih?,faat teekyaatih,VS
karuk-2010-07-23-ag-vs-3_03,faat ikyaveesh?,faat ikyaveesh,VS
karuk-2010-07-23-ag-vs-3_04,faat teekyav?,faat teekyav,VS
karuk-2010-07-23-ag-vs-3_05,faat ikupaveenatih?,faat ikupaveenatih,VS
karuk-2010-07-23-ag-vs-3_06,faat kuma'av?,faat kumaqav,VS
karuk-2010-07-23-ag-vs-3_07,faat kuma'av peemnisheesh?,faat kumaqav peemnisheesh,VS
karuk-2010-07-23-ag-vs-3_08,faat kumeethyur peekvareesh?,faat kumeethyur peekvareesh,VS
karuk-2010-07-23-ag-vs-3_09,faat kumapaah peekyaveesh?,faat kumapaah peekyaveesh,VS
karuk-2010-07-23-ag-vs-3_10,faat kuma'avah peevishtaantih?,faat kumaqavah peevishtaantih,VS
karuk-2010-07-23-ag-vs-3_11,aama ni'aveesh.,aama niqaveesh,VS
karuk-2010-07-23-ag-vs-3_12,huut uum pamipaah ikyaatih?,huut uum pamipaah ikyaatih,VS
karuk-2010-07-23-ag-vs-3_13,pa'aama huut imniishtih?,paqaama huut imniishtih,VS
karuk-2010-07-23-ag-vs-3_14,papusihich ipahak a' ukrii.,papusihich ipahak aq ukrii,VS
karuk-2010-07-23-ag-vs-3_15,pakihara puuvish thaankurih.,pakihara puuvish thaankurih,VS
karuk-2010-07-23-ag-vs-4_01,hooy papusihich?,hooy papusihich,VS
karuk-2010-07-23-ag-vs-4_02,papusihich hum ithiinatih?,papusihich hum ithiinatih,VS
karuk-2010-07-23-ag-vs-4_03,haa papusihich nithiinatih.,haa papusihich nithiinatih,VS
karuk-2010-07-23-ag-vs-4_04,papusihich um tee mah?,papusihich um tee mah,VS
karuk-2010-07-23-ag-vs-4_05,haa ta nimah papusihich.,haa ta nimah papusihich,VS
karuk-2010-07-23-ag-vs-4_06,puuhara punamaahtihara papusihich.,puuhara punamaahtihara papusihich,VS
karuk-2010-07-23-ag-vs-4_07,yuraschishiih ta nimah.,yuraschishiih ta nimah,VS
karuk-2010-07-23-ag-vs-4_08,payuraschishiih too kviip ishkih.,payuraschishiih too kviip ishkih,VS
karuk-2010-07-23-ag-vs-4_09,payuraschishiih nikuuntakoo.,payuraschishiih nikuuntakoo,VS
karuk-2010-07-23-ag-vs-4_10,payuraschishiih ikuuntakoo hum?,payuraschishiih ikuuntakoo hum,VS
karuk-2010-07-23-ag-vs-4_11,ishkih um too kxip?,ishkih um too kxip,VS
karuk-2010-07-23-ag-vs-4_12,pachuufish chaka'iimich too kxip.,pachuufish chakaqiimich too kxip,VS
karuk-2010-07-23-ag-vs-4_13,aama hum i'aveesh?,aama hum iqaveesh,VS
karuk-2010-07-23-ag-vs-4_14,haa aama ni'aveesh.,haa aama niqaveesh,VS
karuk-2010-07-23-ag-vs-4_15,uum payeem uum aama u'aveesh.,uum payeem uum aama uqaveesh,VS
karuk-2010-07-23-ag-vs-4_16,koovura aama nu'aveesh.,koovura aama nuqaveesh,VS
karuk-2010-07-23-ag-vs-4_17,chimi aama nu'ava.,chimi aama nuqava,VS
karuk-2010-07-23-ag-vs-4_18,aama nimnisheesh.,aama nimnisheesh,VS
karuk-2010-07-23-ag-vs-4_19,ipit aama nimnish.,ipit aama nimnish,VS
karuk-2010-07-23-ag-vs-4_20,iim aama imniishtih.,iim aama imniishtih,VS
karuk-2010-07-23-ag-vs-4_21,aama um ivishtaantih?,aama um ivishtaantih,VS
karuk-2010-07-23-ag-vs-4_22,haa aama nivishtaantih.,haa aama nivishtaantih,VS
karuk-2010-07-23-ag-vs-4_23,haa naa aama karu nivishtaantih.,haa naa aama karu nivishtaantih,VS
karuk-2010-07-23-ag-vs-4_24,harivari pa'aama nu'aveesh?,harivari paqaama nuqaveesh,VS
karuk-2010-07-23-ag-vs-4_25,uumkun harivari pa'aama kunaveesh?,uumkun harivari paqaama kunaveesh,VS
karuk-2010-07-23-ag-vs-4_26,yufishhi pa'aama.,yufishhi paqaama,VS
karuk-2010-07-23-ag-vs-4_27,ishkih ukpuuhtih.,ishkih ukpuuhtih,VS
karuk-2010-07-23-ag-vs-4_28,ishkih um pa'akraa ukpuuhtih?,ishkih um paqakraa ukpuuhtih,VS
karuk-2010-07-23-ag-vs-4_29,ivishtaantih hum pa'akraah?,ivishtaantih hum paqakraah,VS
karuk-2010-07-23-ag-vs-4_30,faat kuma'ish?,faat kumaqish,VS
karuk-2010-07-23-ag-vs-4_31,arara'ish nivishtaantih.,araraqish nivishtaantih,VS
karuk-2010-07-23-ag-vs-4_32,ishaha ta ni'ish.,ishaha ta niqish,VS
karuk-2010-07-23-ag-vs-4_33,pa'ishah ni'isheesh.,paqishah niqisheesh,VS
karuk-2010-07-23-ag-vs-4_34,pa'ishaha hum i'isheesh?,paqishaha hum iqisheesh,VS
karuk-2010-07-23-ag-vs-4_35,naa yufish nivishtaantih.,naa yufish nivishtaantih,VS
karuk-2010-07-23-ag-vs-4_36,chimi papufich'iish numnisheesh.,chimi papufichqiish numnisheesh,VS
karuk-2010-07-23-ag-vs-4_37,iimkun papufich'iish kumnisheesh?,iimkun papufichqiish kumnisheesh,VS
karuk-2010-07-23-ag-vs-4_38,haa koovura numnisheesh papufich'iish.,haa koovura numnisheesh papufichqiish,VS
karuk-2010-07-23-ag-vs-4_39,puuhara papufich'iish pukinimnisheeshara.,puuhara papufichqiish pukinimnisheeshara,VS
karuk-2010-07-23-ag-vs-4_40,papufich'iish um ivishtaantih?,papufichqiish um ivishtaantih,VS
karuk-2010-07-23-ag-vs-4_41,uum papufich'iish uvishtaantih.,uum papufichqiish uvishtaantih,VS
karuk-2010-07-23-ag-vs-4_42,ipit numniishti papufich'iish.,ipit numniishti papufichqiish,VS
karuk-2010-07-23-ag-vs-4_43,yufishhi papufich'iish.,yufishhi papufichqiish,VS
karuk-2010-07-23-ag-vs-4_44,naa ip niyufishhat papufich'iish.,naa ip niyufishhat papufichqiish,VS
karuk-2010-07-23-ag-vs-4_45,ipit uxraah nu'avat.,ipit uxraah nuqavat,VS
karuk-2010-07-23-ag-vs-4_46,payeem uxraah nu'aamtih.,payeem uxraah nuqaamtih,VS
karuk-2010-07-23-ag-vs-4_47,uxraah nivishtaantih.,uxraah nivishtaantih,VS
karuk-2010-07-23-ag-vs-4_48,iim uxraah ivishtaantih?,iim uxraah ivishtaantih,VS
karuk-2010-07-23-ag-vs-4_49,ipit paxuun nu'avat.,ipit paxuun nuqavat,VS
karuk-2013-01-27-vs-1_A_01,"pa'apsuun uum vura vaaram, pa'aan uum ipshuunkinich.",paqapsuun uum vura vaaram paqaan uum ipshuunkinich,VS
karuk-2013-01-27-vs-1_A_02,pa'apsuun karu pa'aan xakaan vura yav.,paqapsuun karu paqaan xakaan vura yav,VS
karuk-2013-01-27-vs-1_A_03,pay uum pa'apsuun vura uum vaaram.,pay uum paqapsuun vura uum vaaram,VS
karuk-2013-01-27-vs-1_A_04,vura niinamich pa'asip.,vura niinamich paqasip,VS
karuk-2013-01-27-vs-1_A_05,keechas vura patakaakaa.,keechas vura patakaakaa,VS
karuk-2013-01-27-vs-1_B_01,patakaakaatunveechas kaan kun'ichunvunaatih.,patakaakaatunveechas kaan kunqichunvunaatih,VS
karuk-2013-01-27-vs-1_B_02,"kun'ichunvunaatih, kaan.",kunqichunvunaatih kaan,VS
karuk-2013-01-27-vs-1_B_03,patakaakaatunveechas kun'ichunvunaatih.,patakaakaatunveechas kunqichunvunaatih,VS
karuk-2013-01-27-vs-1_B_04,,,
karuk-2013-01-27-vs-1_B_05,puna'aapunmutihara.,punaqaapunmutihara,VS
karuk-2013-01-27-vs-1_B_06,pananu'atraax vura uum ipshuunkinich.,pananuqatraax vura uum ipshuunkinich,VS
karuk-2013-01-27-vs-1_B_07,vura nu'apimtih.,vura nuqapimtih,VS
karuk-2013-01-27-vs-1_B_08,vaa kunish kunimusahiti pasaan.,vaa kunish kunimusahiti pasaan,VS
karuk-2013-01-27-vs-1_B_09,kunish tuvaxrah.,kunish tuvaxrah,VS
karuk-2013-01-27-vs-1_B_10,pakeechas vura ta kunikxiipshur.,pakeechas vura ta kunikxiipshur,VS
karuk-2013-01-27-vs-1_B_11,,,
karuk-2013-01-27-vs-1_B_12,,,
karuk-2013-01-27-vs-1_C_01,pamitipa ipeen ook naa.,pamitipa ipeen ook naa,VS
karuk-2013-01-27-vs-1_C_02,mitipa ipeen ook naa.,mitipa ipeen ook naa,VS
karuk-2013-01-27-vs-1_C_03,vura uum puxich nu'itapeesh pa'ararahih.,vura uum puxich nuqitapeesh paqararahih,VS
karuk-2013-01-27-vs-1_C_04,,,
karuk-2013-01-27-vs-1_C_05,"naa ipshuunkinich, kuna pananitipa uum vaaram.",naa ipshuunkinich kuna pananitipa uum vaaram,VS
karuk-2013-01-27-vs-1_C_06,pay uum ipshuunkinich. pay cup uum vaaram.,pay uum ipshuunkinich pay cup uum vaaram,VS
karuk-2013-01-27-vs-1_C_07,pay uum pananikafih'asip ipshuunkinich.,pay uum pananikafihqasip ipshuunkinich,VS
frog-1,Avansaxiich u'ahooti karu pachishiih.,Avansaxiich uqahooti karu pachishiih,VS
frog-10,Avansaxiich uchuphunishkooti pachishiih.,Avansaxiich uchuphunishkooti pachishiih,VS
frog-10b,Xas uum paxanchiifich iin kinimuustih.,Xas uum paxanchiifich iin kinimuustih,VS
frog-10c,Pa'avansaxiich iin ta kunchuphunishkoo.,Paqavansaxiich iin ta kunchuphunishkoo,VS
frog-11," Now, faat karu?",Now faat karu,VS
frog-11b, Pay'ook uum paxanchiifich.,Payqook uum paxanchiifich,VS
frog-11c-cut,"Uxutih, "" Neexaychakisheesh paxanchiifich.""",Uxutih Neexaychakisheesh paxanchiifich,VS
frog-11d,"Uxutih, "" Neexaychakish paxanchiifich.""",Uxutih Neexaychakish paxanchiifich,VS
frog-12, Pay'ook uum faat?,Payqook uum faat,VS
frog-12b-cut,"Pa'avansaxiich uxutih, "" Neexaychakisheesh paxanchiifich.""",Paqavansaxiich uxutih Neexaychakisheesh paxanchiifich,VS
frog-12c,Kunish ipshuunkinich pay.,Kunish ipshuunkinich pay,VS
frog-13-cut,Puyaif vura uum kaarim xas pamuchishiih xas tuxaychakish.,Puyaif vura uum kaarim xas pamuchishiih xas tuxaychakish,VS
frog-13b-cut,Karu uum paxanchiifich uum too skaaksur.,Karu uum paxanchiifich uum too skaaksur,VS
frog-14-cut,Pay'ook uum xakaan kun'iin pa'avansaxiich karu pachishiih.,Payqook uum xakaan kunqiin paqavansaxiich karu pachishiih,VS
frog-14b-cut,"Xas paxanchiifich kaan ukrii, saruk kaan ukrii.",Xas paxanchiifich kaan ukrii saruk kaan ukrii,VS
frog-15,Kari pachishiih karu ukrii.,Kari pachishiih karu ukrii,VS
frog-15b-cut,Ithyaruk xas ukuuntakoo paxanchiifich.,Ithyaruk xas ukuuntakoo paxanchiifich,VS
frog-16,Xas ikiich too kvurish.,Xas ikiich too kvurish,VS
frog-16b,Ikiich too kvurish tuxus too pvaaram.,Ikiich too kvurish tuxus too pvaaram,VS
frog-16c,Karu payeem vura vaa umuustih kari.,Karu payeem vura vaa umuustih kari,VS
frog-17,Xas vura ta kunpiyaaram.,Xas vura ta kunpiyaaram,VS
frog-18-cut,Xas vura uum too kvurish karu paxanchiifich.,Xas vura uum too kvurish karu paxanchiifich,VS
frog-18b-cut,"Xas vura umuustih huukava pata kunivyiihma, mukunfithih.",Xas vura umuustih huukava pata kunivyiihma mukunfithih,VS
frog-18c-cut,Vaa kaan kun'ahootiheen.,Vaa kaan kunqahootiheen,VS
frog-19-cut,Xas vura kaan tu'uum vaa kaan u'aharamuraatih.,Xas vura kaan tuquum vaa kaan uqaharamuraatih,VS
frog-19b-cut,Kaan pakun'ahootih.,Kaan pakunqahootih,VS
frog-2-cut,Pa'avansaxiich usxaareesh karu pamuchishiih.,Paqavansaxiich usxaareesh karu pamuchishiih,VS
frog-20,Kari iish upaatvutih pa'axiich.,Kari iish upaatvutih paqaxiich,VS
frog-20b-cut,Xas iish ta kunpaatva.,Xas iish ta kunpaatva,VS
frog-20c-cut,Xas payeem iish ta kunpaatva.,Xas payeem iish ta kunpaatva,VS
frog-21,Xas vura uum paxanchiifich vura uum yav patoo pmahoonkoon.,Xas vura uum paxanchiifich vura uum yav patoo pmahoonkoon,VS
frog-21b-cut,Iinaak ukrii.,Iinaak ukrii,VS
frog-22-cut,Xas paxanchiifich iin ta kunimuusti pakunpaatvutih.,Xas paxanchiifich iin ta kunimuusti pakunpaatvutih,VS
frog-23-cut,"Xas payeem paxanchiifich too xus, "" Kiri naa karu nipaatveesh.""",Xas payeem paxanchiifich too xus Kiri naa karu nipaatveesh,VS
frog-23b,Xas umuustihinaa.,Xas umuustihinaa,VS
frog-24,Xas vura uum payeem ta kunpaatvaheen.,Xas vura uum payeem ta kunpaatvaheen,VS
frog-24b-cut,"Karu paxanchiifich u'uum vaa kaan, ukuuntakoo pachishihaxvaah.",Karu paxanchiifich uquum vaa kaan ukuuntakoo pachishihaxvaah,VS
frog-3,Pa'avansaxiich umuusti paxanchiifich.,Paqavansaxiich umuusti paxanchiifich,VS
frog-4-cut,Ta kunithviripunih muchishiih xakaan.,Ta kunithviripunih muchishiih xakaan,VS
frog-4b,Xas ta kunmah paxanchiifich.,Xas ta kunmah paxanchiifich,VS
frog-5,Xas too kviripunih kaan.,Xas too kviripunih kaan,VS
frog-5b,Xas too kyivish.,Xas too kyivish,VS
frog-5d-cut,Xas paxanchiifich uthitiv.,Xas paxanchiifich uthitiv,VS
frog-6,Xas too kyiimkurih.,Xas too kyiimkurih,VS
frog-6b,Xas pa'ishaha too kyiimkurih.,Xas paqishaha too kyiimkurih,VS
frog-6c,Pamufithih kich ta numah.,Pamufithih kich ta numah,VS
frog-6d-cut,"Karu pachishiih upsaravriiktih, avansaxiich.",Karu pachishiih upsaravriiktih avansaxiich,VS
frog-6e-cut,Tu'ay.,Tuqay,VS
frog-7-cut,Xas pa'avansaxiich karu pachishiih ta kunmah paxanchiifich.,Xas paqavansaxiich karu pachishiih ta kunmah paxanchiifich,VS
frog-7b-cut,Xas paxanchiifich payeem too mah.,Xas paxanchiifich payeem too mah,VS
frog-7c,Tu'aapunma uumkun yav.,Tuqaapunma uumkun yav,VS
frog-7d-cut,Yav too mah.,Yav too mah,VS
frog-8,Ikiich paxanchiifich xas too pvaaram.,Ikiich paxanchiifich xas too pvaaram,VS
frog-9-cut,Xas payeem paxanchiifich tu'ipak.,Xas payeem paxanchiifich tuqipak,VS
frog-9b,Xas too muustihinaa pa'avansaxiich karu ... Hooy uum pachishiih?,Xas too muustihinaa paqavansaxiich karu Hooy uum pachishiih,VS
frog-9c-cut,Xas paxanchiifich too muusti pachishiih karu pa'avansaxiich.,Xas paxanchiifich too muusti pachishiih karu paqavansaxiich,VS
karuk-2012-10-20-vs-4_A_01,ayukii.,ayukii,VS
karuk-2012-10-20-vs-4_A_02,huut iim?,huut iim,VS
karuk-2012-10-20-vs-4_A_03,huut ti'iin?,huut tiqiin,VS
karuk-2012-10-20-vs-4_A_04,huut kich?,huut kich,VS
karuk-2012-10-20-vs-4_A_05,naa vura yav.,naa vura yav,VS
karuk-2012-10-20-vs-4_A_06,vura yav.,vura yav,VS
karuk-2012-10-20-vs-4_A_07,naa yeeshiip.,naa yeeshiip,VS
karuk-2012-10-20-vs-4_A_08,iim hum huut?,iim hum huut,VS
karuk-2012-10-20-vs-4_A_09,if xara xas ta nupmah.,if xara xas ta nupmah,VS
karuk-2012-10-20-vs-4_A_10,hooy ti'aramsiipriv?,hooy tiqaramsiipriv,VS
karuk-2012-10-20-vs-4_A_11,naa Orleans ni'aramsiiprivtih.,naa Orleans niqaramsiiprivtih,VS
